UniqueCount	AmbigCount
671	17
458	8
23342	338
7797	148
78	98
970	107
41382	728
152	0
56	19
816	25
1941	38
2473	54
363	5
47	17613
727	18498
930	18984
0	0
0	0
0	0
2	0
0	226
0	222
0	231
4	226
0	232
0	237
0	231
0	116
0	91
0	113
0	116
0	116
0	116
1057	20
3	853
0	920
3	942
51	819
2	1647
0	2402
1	2402
0	2448
0	473
0	509
0	497
0	480
330	6
11	861
143	861
0	819
4	1
44	2
2	24
2	24
0	421
1	380
0	523
2	274
0	466
1	518
0	12
10	33
6	33
2	368
0	378
19	353
0	0
2299	38
16	282
0	282
37	42
15	42
10	0
0	0
513	13
3	0
0	0
0	0
0	0
32	0
1	78
243	359
107	351
0	2
2	2
0	22
0	32
4	46
15	0
0	2
0	13
0	28
0	28
0	18
140	0
29	1
129	1
17	130
0	197
0	205
0	199
84	141
0	45
2	45
0	45
0	138
0	0
0	0
0	17
0	0
1	0
3	19
8	19
35	0
8	154
0	248
0	248
0	0
15	0
33	24
18	23
54	1
49	0
0	5
0	5
165	1
0	526
7	825
15	825
14	130
0	540
3	509
5	552
0	552
0	562
0	0
0	47
4	47
0	0
23	0
788	70
0	64
0	74
0	77
19	1
0	113
0	113
100	5
0	2
0	2
0	0
713	23
0	0
0	0
0	0
0	0
0	0
0	0
0	0
23	0
0	119
0	0
0	0
0	0
0	5
0	6
1	6
0	6
0	132
111	132
0	0
26	27
38	28
3	5
59	1958
0	1961
0	1964
2	1964
0	1964
1	150
23	152
3	96
1	91
0	0
22	0
146	3
0	0
0	71
1	71
0	5
2	2
0	587
0	579
21	558
0	5
0	0
14	8
0	5
0	5
4	0
4	6
0	0
0	0
10	58
0	3
0	0
0	1
0	1
0	0
1158	2201
234	2347
0	0
0	0
0	53
18	54
2	6
0	6
0	0
6	0
0	0
0	0
8	708
28	723
25	790
6	304
15	304
42	1
0	3
0	3
0	3
0	3
1	0
1	0
4	0
0	0
2	10
0	0
0	0
2	0
12	7
120	6
4	21
9	56
0	75
44	73
0	0
26	1
0	3
0	5
0	0
0	0
10	11
0	28
68	13
0	14
4	14
6	7
0	0
0	0
0	4143
20	4309
9	4920
0	4969
0	4969
0	9
0	0
0	170
1	196
427	6
27	50
1	8
0	0
0	1
0	0
0	1
0	1851
0	2063
0	1983
10	1780
13	2027
0	10
0	60
0	60
34	156
0	0
0	0
0	0
0	0
0	0
0	0
6	40
0	0
59	0
13	2
2	118
8	118
4	118
0	0
5	23
34	0
0	0
0	0
795	23
12	0
65	0
171	6
20	1
2	62
1	41
23	49
0	13
23	16
0	14
4	0
0	0
23	0
1833	27
10	0
26	295
0	375
0	298
0	0
9	0
103	127
20	127
0	15
0	15
0	0
0	0
1	0
0	0
0	0
2	0
0	0
0	0
8	516
0	520
25	514
1	28
0	25
0	29
0	35
2	44
0	45
0	28
0	38
0	32
0	21
18	7
40	0
0	0
0	44
12	44
0	0
179	3
373	6
0	0
89	1
0	0
3	127
9	175
0	131
23	57
1	121
0	345
16	381
1	580
0	771
0	776
0	748
4	0
941	6
0	0
13	0
0	4
29	8
0	0
0	94
0	87
16	93
1	2192
250	2736
0	2808
1	0
13	22
25	443
79	443
47	1
0	14
0	5
2	14
0	0
199	5
53	0
9	0
77	3
1	15
4	21
1	1331
75	1377
47	1113
0	1111
0	2
0	2
0	24
0	24
0	29
0	25
0	24
0	24
0	25
0	25
0	25
0	30
52	354
0	354
292	934
8	929
0	0
0	0
0	0
26	191
0	194
0	172
0	0
0	1
0	1
0	1
0	1
0	1
2	1
0	394
0	415
5	391
27	432
0	29
0	32
2	32
0	26
0	9
0	11
0	13
0	13
0	11
0	13
0	13
0	13
0	68
21	80
136	96
0	0
30	0
7	0
0	87
0	36
0	36
0	36
0	116
0	93
0	116
0	116
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	10
1	10
26	105
374	109
1074	13
60	362
305	366
0	0
0	0
24	159
39	159
0	0
591	2521
13	2512
182	0
0	0
1243	35
0	0
0	0
0	0
77	573
351	578
103	1
0	0
0	0
22	3
2	9
2	8
0	18
12	18
2	637
6	561
22	659
683	6
15	37
0	36
4	1
1	1
1	349
19	349
33	0
14	229
0	227
0	245
97	246
0	248
1	245
800	11
0	0
0	0
9	5573
5	5449
47	5579
0	0
0	11
20	11
13	0
0	15
0	17
0	19
0	23
0	0
0	0
0	0
0	0
8	0
0	0
99	1
0	0
0	0
0	14
26	0
37	640
0	744
0	742
0	0
0	139
0	104
0	0
0	0
0	136
26	281
46	283
31	0
59	180
11	212
5	137
2	0
24	0
618	9
0	42
0	42
55	987
0	1754
159	1892
0	12
3	12
0	3
0	4
0	4
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
12	81
19	176
0	178
0	180
0	155
19	176
1	301
6	311
11	184
79	2
0	0
0	0
0	0
2	1
0	1
0	1
0	1
0	1
0	1
2421	64
6	121
132	121
0	0
55	29
5739	500
81	372
16	370
5	228
0	0
0	0
0	0
0	199
0	542
0	179
5	140
0	520
0	539
0	520
0	1529
39	1529
40	628
52	1219
21	879
0	0
0	199
0	211
0	235
0	258
0	237
0	258
1	8
0	11
0	334
2	374
0	415
2	415
0	368
6	284
41	260
0	298
0	0
0	0
25	0
58	114
6	91
2	111
0	0
0	388
0	388
1	53
146	11
0	4
1	3
1	0
0	0
0	1
0	10
2	14
5	27
1	14
393	1
5	226
9	0
0	2
0	0
0	0
0	0
0	0
1	87
1	86
1	88
0	105
0	94
0	112
4	62
1	26
2	26
0	7
15	0
0	1
0	1
24	0
0	0
0	0
0	0
0	0
11	8
0	0
0	0
18	0
17	4
1	4
271	1
0	9
0	9
0	9
16	20
44	20
0	5
0	3
0	3
0	3
0	3
0	3
0	1
0	3
52	0
0	0
0	151
76	285
39	0
0	0
0	0
0	19
8	361
3	599
6	570
18	230
0	149
0	149
0	149
2	128
0	40
0	43
0	38
0	43
0	36
