UniqueCount	AmbigCount
483	7
444	13
16928	231
7220	124
142	108
1248	120
36066	638
151	1
52	6
439	10
875	14
867	12
184	3
24	16657
865	17763
781	17952
0	0
0	0
0	0
9	0
0	517
0	490
1	523
7	515
0	526
2	525
0	525
0	101
0	74
3	95
0	101
0	101
0	101
1368	26
0	1077
0	1170
4	1202
36	1033
5	2103
0	3171
0	3171
0	3241
0	505
0	554
0	536
1	514
541	18
14	689
79	689
0	658
28	0
64	1
3	16
11	16
3	481
3	406
0	608
2	386
0	559
2	592
1	23
26	77
9	75
5	773
0	792
9	743
0	0
3096	47
29	365
0	365
40	56
13	55
6	0
0	0
901	23
3	0
0	0
0	0
8	0
37	2
0	165
77	422
47	422
0	6
0	3
0	25
0	29
1	48
3	0
0	3
0	8
0	18
0	18
0	15
146	0
21	0
133	2
3	11
0	247
0	253
0	231
9	10
0	49
6	48
0	49
0	11
1	0
0	0
24	159
0	0
0	0
7	29
6	29
48	1
5	131
0	190
0	190
0	0
18	0
36	45
17	45
128	2
89	0
0	4
4	4
208	1
0	475
10	770
20	770
35	181
2	654
3	620
4	668
0	668
0	691
1	0
0	36
3	36
0	0
11	1
459	41
0	64
3	83
0	86
24	0
0	251
0	251
94	1
0	0
1	0
5	0
1004	19
27	1460
1	2580
0	2634
0	2583
0	2532
0	2521
0	2549
26	0
0	189
1	335
0	2239
4	0
1	1
0	4
1	4
1	4
9	133
140	133
0	0
14	31
49	31
0	11
57	1771
0	1771
0	1775
0	1775
0	1775
0	159
30	159
0	89
0	82
0	0
22	0
139	2
0	0
0	81
0	83
0	10
1	0
2	1048
0	1030
62	996
0	11
1	1
30	10
0	5
0	10
9	0
4	12
0	1
0	1
3	31
0	1
1	4
0	16
0	16
0	0
1067	2115
222	2253
0	0
0	0
3	98
24	98
0	0
0	0
0	0
8	0
1	0
0	0
10	1056
27	1071
32	1148
10	483
30	483
35	0
0	4
0	4
0	4
0	4
1	0
6	0
12	0
1	0
2	10
0	0
0	0
0	0
1	7
199	2
6	22
10	58
2	83
68	86
594	99
11	0
0	1
0	1
126	178
2	2780
5	6
0	26
70	17
0	19
3	19
1	1
25	1730
0	2650
0	3646
15	3727
1	4283
0	4261
2	4261
0	1
0	0
0	77
6	98
496	8
32	14
0	3
0	0
97	1019
53	1049
55	1184
1	2420
0	2754
2	2656
37	2343
32	2699
0	2
0	103
0	103
14	95
0	0
0	1
0	1
0	0
5	0
0	1
13	54
0	2689
69	0
4	6
5	227
5	227
10	227
5	2524
4	27
46	1
0	58
22	58
1476	23
21	0
62	2
159	2
34	0
3	116
7	98
43	87
0	6
27	12
6	12
6	4
0	0
12	1
1677	25
40	1
54	635
0	747
0	588
0	0
26	1
140	130
35	130
0	13
0	13
97	2535
0	2152
13	3594
1	0
328	3144
6	36
8	25
3	23
31	804
0	811
36	809
2	52
3	46
3	44
0	53
6	67
0	64
1	45
0	54
2	47
4	39
757	2810
83	3
0	0
0	35
3	35
6	0
336	9
603	12
0	0
134	5
0	0
0	121
0	146
3	136
26	64
0	121
0	356
14	370
0	655
0	902
0	909
2	872
0	0
901	33
0	0
19	0
0	13
10	2
0	0
1	155
3	143
23	144
0	2041
276	2482
11	2533
0	2579
24	24
40	504
109	506
21	0
0	17
0	15
0	17
5	0
244	7
125	0
2	0
93	0
1	15
11	36
1	1925
88	2049
67	1698
0	1707
0	1
0	1
0	29
0	29
0	32
0	30
0	30
0	30
0	29
0	30
0	29
0	32
56	305
0	304
307	1209
13	1203
1	0
0	0
0	0
30	302
0	305
0	245
0	0
0	3
0	3
0	3
0	3
0	3
2	3
0	496
5	549
0	459
57	563
0	55
0	63
1	63
0	43
0	0
0	1
0	1
0	1
0	0
0	1
0	1
0	1
0	79
7	128
173	141
0	0
30	2
12	0
0	82
0	24
0	30
0	28
0	111
0	97
0	104
1	105
0	0
0	0
0	1
0	1
0	2
0	2
0	0
0	1
1	8
1	8
12	111
333	113
977	13
60	513
328	515
0	0
0	0
34	271
41	271
4	0
518	2617
6	2615
290	0
0	0
1183	28
0	0
0	0
0	0
89	692
355	696
164	1
0	0
0	0
14	0
5	15
2	11
0	34
14	33
0	1164
8	984
26	1196
825	5
13	60
3	60
3	5
5	2
10	558
18	558
31	0
24	237
0	237
0	302
134	303
0	302
0	302
722	9
3	0
0	0
3	3905
1	3815
42	3910
0	0
0	17
16	17
9	0
0	51
0	44
0	54
0	61
0	0
0	0
0	0
0	0
12	0
0	0
103	4
0	0
0	0
4	94
35	0
19	595
1	676
0	665
0	0
0	11
0	9
0	0
0	0
0	165
16	288
83	292
25	0
74	231
25	280
11	215
3	3
36	3
844	11
0	46
0	46
90	871
2	1585
155	1666
1	25
4	25
0	2
0	5
0	5
0	0
0	0
0	0
0	0
2	0
0	0
0	0
0	0
0	0
0	0
12	83
21	186
0	197
0	205
0	181
41	186
0	390
11	390
19	225
81	1
0	0
0	0
0	0
3	0
0	12
0	12
0	12
0	0
1	0
2027	31
0	59
80	60
0	0
35	32
4394	426
54	322
6	322
3	110
0	0
0	0
0	0
0	89
0	245
0	80
1	80
0	247
0	245
0	247
1	1720
21	1718
15	668
35	1322
62	963
0	0
0	71
0	79
0	97
0	92
0	74
0	92
0	5
0	7
0	465
0	551
0	589
1	589
0	549
16	296
37	302
1	318
0	1
0	1
62	3
30	61
4	54
6	57
2	0
0	506
0	505
0	79
165	14
0	2
0	2
1	1
0	1
0	1
0	25
5	28
2	26
0	19
347	3
3	119
6	0
0	0
0	0
0	0
0	0
0	0
0	113
2	111
0	107
3	114
0	121
2	134
2	31
1	26
0	26
0	4
32	0
0	0
0	0
43	0
0	0
0	0
0	0
1	0
10	4
0	0
0	0
23	0
27	2
0	2
248	3
0	1
0	3
0	3
12	29
41	31
0	2
0	13
0	13
0	0
0	1
0	1
0	1
0	1
36	0
0	0
0	78
7	120
46	0
0	0
0	0
0	8
2	419
3	747
13	726
21	246
0	185
0	185
0	189
2	168
0	67
0	70
0	67
0	66
0	63
0	71
194	28
14	25
748	19
55	4
0	4
1	9
0	4
0	3
0	0
2	48
42	50
2	20
0	20
1	4
0	1
9	29
993	1381
115	3846
77	3573
0	0
0	20
0	0
2	44
0	0
501	1162
1	1391
0	4441
39	4615
0	4801
79	4740
0	4389
0	2
0	2
1	5
0	7
0	9
0	7
0	5
0	7
0	7
5	659
0	615
7	689
13	755
0	204
2	317
12	300
5	264
67	298
40	12
0	0
0	81
0	42
0	81
0	87
19	42
16	53
134	54
1146	12
9	366
3	383
26	369
0	391
0	422
0	431
0	4
0	10
0	0
0	1
0	0
0	0
0	0
0	0
3	309
0	302
0	320
0	371
17	371
2	418
0	0
3	3
0	4
2	181
0	181
1	181
33	180
0	181
0	108
12	108
3	0
0	2420
0	1284
171	2421
0	581
0	611
0	624
0	632
0	691
87	697
0	0
206	2770
100	2769
0	67
0	198
0	204
8	82
0	88
163	6135
38	7705
36	7708
11	4512
15	4017
7	8124
0	0
651	9
0	37
0	0
0	678
0	76
6	76
11777	166
0	67
108	71
0	254
0	255
93	5
2	165
0	0
0	0
5	248
4	60
3	438
6	399
1	428
10	432
0	407
0	4343
21	4343
24	4343
24	4343
0	44
0	48
0	52
0	54
0	53
0	51
0	53
0	55
2	0
87	6
0	31
0	57
0	20
0	57
0	20
1	0
110	13181
17	13097
92	13149
40	13090
0	13337
90	13170
29	8722
56	8585
1514	8733
126	116
4	1336
22	1336
2074	65
60	1
16	707
2	706
31	1592
1	1093
0	1093
0	1523
0	1517
1	1478
0	9
21	7
0	9
5	7
130	617
0	5071
23	5658
99	5291
0	312
10	416
23	386
0	383
6	313
0	0
0	0
0	0
0	0
0	0
23	0
27	1
416	518
27	510
12	4
3	1
31	9
0	9
64	53
52	49
1	1955
0	2008
0	1944
1	1778
0	2169
11	2167
0	2051
19	1961
0	0
0	0
10	1439
0	1115
0	1671
672	17
16	0
44	325
38	325
1	1
0	1
0	1
0	1
0	1
0	0
0	0
32	0
0	0
83	618
1	514
8	1083
0	1098
0	1105
5	1274
181	1131
0	4
0	0
0	5
60	2041
104	2207
0	2138
0	1
0	1
1	1
0	1
0	1
0	2
0	23
0	26
0	26
5	782
12	782
0	782
24	779
0	779
18	756
0	791
3	468
153	336
3	1431
417	1717
51	689
26	687
61	1
0	13
0	13
0	66
7	66
188	4734
1524	4766
27	4742
215	4726
761	4740
2986	4768
0	1624
0	4734
0	4773
145	4775
61	40
318	49
25	698
0	645
0	594
16	728
20	546
178	429
0	592
5	667
4	643
12986	311
1	77
1	98
28	86
0	0
384	7
107	0
1	0
0	85
46	85
2	82
0	82
0	82
1	82
180	1318
403	1323
2	69
0	74
0	132
0	169
139	169
1	169
2	3201
94	3208
0	233
0	3093
1	249
6	1039
0	3202
6	3132
3	3126
0	144
0	144
23	144
0	549
11	637
44	858
0	876
1	876
4	859
1	303
15	0
4	491
8	491
547	4943
3332	4991
8	2863
18	3378
0	2778
11	108
0	191
53	197
76	1
283	852
94	847
0	0
987	20
0	128
1	130
3	134
0	132
0	132
0	139
0	105
0	155
51924	880
21	1
0	0
0	0
0	0
0	0
230	3
5	0
25793	448
3	0
140	1100
75	1100
3027	56
0	1077
137	1083
275	1088
620	16
26	701
6	586
0	660
17	738
1495	32
0	0
1	12
0	11
2	11
0	12
0	12
0	0
0	538
30	529
0	551
13	551
0	140
0	290
0	290
19	299
0	300
0	300
12	859
2	860
17	860
0	860
247	859
0	860
1	860
185	3
866	10
0	148
2	148
0	0
440	7
0	11
2	11
0	12713
274	12723
845	12477
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	82
0	122
0	125
0	118
0	123
1407	26
0	127
16	128
1384	26
1261	6373
43	11925
6	11896
5	4670
4	4186
0	4951
0	5351
1029	33
0	0
751	5
0	347
1	347
3	666
0	810
0	773
39	810
7	724
19	746
0	710
0	707
4	734
8	658
6	54
2	11
0	56
8	0
33	5324
553	5326
49	545
8	543
99	392
0	1070
0	718
0	450
0	1095
55	1162
0	1102
0	1156
0	1134
47	1191
11	1195
3	626
996	642
3	11
0	11
0	11
4	11
2	11
0	11
0	7
5	11
0	11
0	11
0	277
0	277
0	440
13	440
0	339
0	413
0	419
0	415
0	441
1	440
1193	23
393	4
0	0
0	0
0	0
0	0
0	0
8	6147
3	6225
140	5907
31	5919
1	5955
21	5636
6	6396
3	460
5	404
27	425
0	0
0	0
0	0
0	0
37	556
326	563
255	802
0	803
0	791
10	807
0	809
1	806
2370	43
0	41
2	54
6	52
0	55
313	790
0	1371
0	1292
0	1126
253	2375
85	2033
20	378
17	376
3	368
6198	81
0	0
365	818
0	896
1	1052
21	89
7	4580
3	4242
117	4830
140	238
51	237
0	4
47	1
945	19
2	263
11	263
13	20
60	20
60	321
0	360
9	490
0	470
0	368
0	364
468	2201
3	2195
8	0
1	314
4	309
0	330
20	3422
178	3466
118	3709
61	1628
68	1628
5	55
162	58
1	510
53	531
0	531
2	89
1	89
2611	40
10	1614
365	1807
0	1598
0	1601
87	1614
0	1818
826	11
9	186
1	254
3	263
16	248
0	257
0	240
0	276
0	314
0	0
0	0
224	2
1	14
0	5
0	15
0	1
0	1
0	0
0	0
0	0
0	0
0	0
0	0
0	0
168	131
63	129
6	424
0	432
0	222
0	444
3	0
4	3
0	0
115	667
54	35
9	148
187	151
10927	176
11	299
32	701
0	667
128	369
35	370
0	0
20	1978
4	1978
63	1150
0	1146
812	2029
0	1834
2	944
25	1962
390	1821
0	1814
0	1846
1	1970
67	216
30	215
0	0
440	7
3251	43
12	92
0	92
0	17
13	17
112	5918
1	5914
18	5563
33	6292
3	6186
3092	40
936	14
14	1
2	0
0	32
0	30
1	28
0	28
0	28
0	30
0	34
0	29
316	9793
10	10137
0	10198
2	10075
0	10117
0	465
0	465
0	0
0	0
0	0
0	0
0	0
0	0
0	0
124	1
0	60
0	60
0	60
0	51
6	38
0	4
0	4
0	4
0	4
1637	28
0	32
1	59
171	60
6	88
15	88
1	0
0	0
0	0
0	0
1	0
0	3
3	0
9	42
15	42
179	316
1	0
0	5
23	18
0	18
0	5
0	1092
23	1169
1	1152
3	1249
0	0
0	0
0	0
1668	2276
22	2238
0	2242
45	2390
0	1
0	1
0	1
0	4
1	205
0	201
47	245
34	239
28	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	265
0	204
0	287
0	285
0	272
0	250
0	104
0	126
0	121
6	124
0	3
2	3
191	378
76	5108
26	4996
0	2
0	6
0	6
0	1708
0	1708
0	1705
0	1708
0	1708
0	6
6	1122
0	4
0	14
2	13
56	14
0	3
56	0
5	170
2	194
5	194
0	183
12	216
44	2
5	430
11	430
2	436
44	436
22	0
0	6
78	57
1108	22
0	3
319	61
0	6
16	4299
550	4300
131	2407
14	2443
0	2548
0	2586
0	2638
0	2610
0	3
0	117
0	117
3557	59
5	25
12	18
0	4
0	4
41	180
38	180
0	140
0	140
0	404
0	591
0	526
8	396
0	222
0	222
0	222
0	248
0	370
0	367
1	368
4	435
11	432
6	427
3	677
0	688
16	691
0	2
0	299
0	337
0	326
0	335
0	6
0	0
10	299
1	1104
59	1105
0	0
0	0
0	6
0	4
2	139
0	95
0	87
0	160
1	61
0	61
0	60
4	0
0	0
0	0
0	0
0	0
0	0
0	6
0	96
1	99
0	108
1	111
0	5
0	382
1	379
3	80
0	90
0	0
29	747
24	712
1	737
6	681
1	0
0	0
102	1
1	1128
337	1132
0	5
1	18
0	2
3	0
0	6
0	5
2	926
79	670
6	954
0	926
32	1517
159	5077
97	5153
0	83
0	83
0	88
1	48
0	88
56	36
23	39
81	38
59	42
0	38
1012	5
1	2115
380	2117
0	6
26	0
8	291
8	291
1	11
1	56
0	61
0	65
0	75
0	6
0	40
4	40
8	583
689	603
59	298
535	302
0	0
0	19
0	15
0	19
0	19
0	19
2	19
0	19
0	19
3	754
73	756
87	788
129	789
0	6
0	5
833	10
0	6
1	1034
66	1035
44	1828
191	1807
3	1614
0	5
26	70
357	68
0	1
33	128
0	128
3	68
0	6
0	0
0	6
0	67
0	75
0	81
0	75
0	91
0	98
10	99
1	113
11	172
74	1378
68	2520
0	1480
1	1359
0	2626
64	2699
1	2789
0	2823
2	2635
2	3
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1131	3984
28	3215
6	3781
238	3731
7	4121
6	0
1	5
641	3
5121	75
4	248
2	248
0	7
0	7
922	5
0	2
0	2
0	0
1	0
0	0
104	231
10	230
978	10
1	5
13	6
0	0
2	1847
0	1712
0	2096
50	2169
4	2117
0	2
0	2
0	2
2	4
108	1
0	0
38	279
66	283
0	7
246	276
59	271
540	648
15	834
510	643
52	596
0	5
507	19
0	187
0	291
0	305
0	280
0	244
9	253
2	220
1	181
2	181
2	263
2702	981
6	963
40	1110
10	1109
62	615
45	49
6	147
0	856
0	829
2	865
0	888
0	886
0	875
0	0
0	6
0	4
2	4
2	0
0	6
6	2
0	0
0	2
22	5584
1	6445
0	5682
142	6082
0	23
1	23
0	19
1	31
0	30
0	29
0	34
0	6
0	90
4	88
0	126
5	126
1	87
37	162
0	167
0	154
0	151
0	1
84	3
0	4
614	14
194	1795
1011	1802
0	1586
385	1591
699	11
0	6
0	276
1	266
0	304
1	316
0	315
0	308
0	319
5	303
1238	27
0	6
27	0
0	1132
0	1133
0	1048
0	1132
0	1133
0	0
0	250
0	250
0	250
0	0
1	889
0	1655
0	1830
402	1891
1	1820
0	244
0	244
0	237
0	4
7	820
21	820
23	635
0	646
0	530
9	949
336	1103
0	19
2	28
0	28
0	4
2313	38
0	0
0	0
0	0
0	0
0	4
