UniqueCount	AmbigCount
1286	34
1063	20
36104	512
12321	206
184	188
2261	210
48974	727
253	3
101	12
1129	16
2844	55
2721	71
402	11
28	14178
695	15114
684	15330
0	0
0	0
2	0
5	1
0	361
0	353
2	367
5	360
0	368
0	372
0	368
0	123
0	86
2	122
0	123
0	123
0	123
1656	40
2	1054
0	1132
5	1175
37	1023
8	1982
0	2954
0	2954
0	3015
0	399
0	456
0	446
0	420
486	6
12	690
83	692
0	665
15	2
81	14
2	15
6	22
0	551
7	475
0	644
1	371
0	586
2	614
5	88
55	227
20	220
4	633
0	674
10	601
0	0
2640	65
28	423
0	423
46	46
13	46
7	1
0	0
978	12
1	0
0	1
0	1
5	1
48	0
0	141
429	626
178	623
0	2
0	2
0	27
0	39
2	61
13	0
0	2
0	3
0	10
0	10
0	10
242	0
24	0
170	0
5	26
0	240
0	245
0	233
13	29
0	61
4	60
0	61
0	28
1	0
0	0
1	15
0	0
0	0
2	32
21	32
41	0
11	102
0	185
0	185
0	0
41	0
28	34
18	30
101	11
102	3
0	9
8	9
172	0
0	584
5	934
10	934
49	196
0	744
4	692
4	757
0	757
0	780
0	0
0	42
2	42
0	0
48	1
1057	121
0	104
6	123
0	123
18	0
1	249
0	249
99	2
0	0
0	0
0	0
971	26
0	2
0	7
0	7
0	7
0	6
0	7
0	6
44	0
1	160
0	1
0	13
0	0
1	11
4	10
1	10
0	10
4	169
184	170
0	0
15	28
67	28
3	16
80	1861
0	1865
0	1866
0	1866
0	1866
1	166
9	169
0	107
2	104
0	0
21	0
167	0
1	0
0	98
0	98
0	11
2	2
4	1099
0	1083
79	1042
0	16
1	0
44	9
0	3
0	11
6	0
8	19
0	0
0	0
23	100
1	1
1	0
0	23
0	23
0	0
1210	2389
592	2534
0	0
0	0
0	77
24	77
1	11
6	11
0	0
7	0
0	0
0	0
28	1109
49	1145
17	1242
11	486
24	486
42	0
0	4
0	4
0	4
0	4
0	0
9	1
11	0
1	0
0	18
0	0
0	0
0	0
7	1
156	7
2	13
7	39
0	51
45	50
9	1
31	0
0	2
0	2
0	1
0	10
1	6
0	10
61	10
0	11
1	11
4	3
0	6
0	8
0	4013
32	3986
8	4506
0	4633
0	4633
0	15
0	0
0	146
14	160
590	6
30	39
0	4
0	0
1	13
0	13
0	14
1	2220
0	2543
0	2429
55	2122
28	2489
0	12
0	78
0	78
30	137
0	0
0	1
0	1
0	0
1	0
0	0
14	59
0	8
62	2
11	3
1	170
7	170
7	170
0	5
3	20
66	0
0	4
2	4
1328	15
34	0
84	0
236	1
32	1
4	73
3	51
27	72
0	8
53	15
2	15
6	4
0	0
16	0
2276	37
28	2
54	531
0	671
0	545
0	0
25	0
160	124
16	124
0	28
0	28
0	10
0	7
0	16
4	0
0	18
0	3
0	0
0	0
22	762
0	769
45	765
0	36
1	28
0	20
0	20
0	40
0	42
0	20
2	35
1	30
0	16
41	17
74	3
0	0
1	85
12	85
0	0
340	5
528	7
0	0
176	4
0	0
0	91
2	121
0	100
32	54
1	91
0	487
19	536
1	727
0	1096
0	1108
0	1056
6	0
1085	17
0	0
10	0
0	8
31	2
1	0
0	146
1	142
18	137
0	3157
374	3847
6	3955
0	10
17	11
38	509
96	508
37	0
0	12
0	7
0	11
6	0
341	2
106	0
7	0
104	0
11	8
10	19
0	2122
112	2229
110	1807
0	1796
0	0
1	0
0	30
0	30
0	33
2	30
0	30
0	30
0	31
0	30
0	31
1	33
85	479
3	478
242	1022
11	1020
0	0
0	1
2	1
23	286
0	288
4	257
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	477
0	511
6	450
36	530
0	40
0	42
8	42
2	33
1	10
0	17
0	18
0	18
0	10
0	18
0	19
0	19
0	94
19	140
141	158
0	0
70	0
24	0
0	135
0	77
0	86
0	79
0	197
10	176
0	194
5	195
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
2	36
0	36
33	114
342	115
1254	17
46	453
318	454
0	1
0	1
37	334
35	334
6	0
467	2319
4	2317
308	2
0	0
1344	13
0	0
0	0
0	0
103	664
344	668
117	0
0	1
0	1
13	0
0	19
1	14
6	41
23	37
4	1135
10	999
46	1192
397	3
30	74
4	74
6	16
19	16
13	416
25	416
25	0
21	263
0	263
1	308
127	308
1	310
1	307
861	20
2	0
0	0
20	4867
1	4754
38	4876
0	0
0	30
28	30
2	0
0	67
0	77
0	70
0	87
0	0
0	0
0	0
0	0
16	0
0	0
157	1
0	0
0	0
2	88
79	2
26	546
0	633
0	624
0	0
0	28
0	17
0	0
0	0
0	239
22	435
116	424
50	0
89	218
26	268
9	212
8	2
35	2
1460	24
6	91
0	91
82	1021
0	1877
158	2001
1	15
4	14
0	12
0	17
0	17
4	0
0	0
0	0
0	0
1	0
0	0
0	1
0	1
0	0
0	0
19	105
26	267
0	247
0	254
0	231
39	268
0	398
9	389
21	227
120	5
0	0
0	0
0	0
6	0
0	15
0	15
0	15
0	0
0	0
2416	29
1	73
93	73
0	0
49	47
5277	462
88	343
15	341
0	260
0	0
0	0
0	0
0	195
0	530
0	199
0	152
0	516
0	526
0	516
0	2040
32	2040
19	884
49	1666
62	1197
0	0
0	160
0	182
0	186
0	213
0	187
0	213
0	9
0	7
1	469
0	515
0	551
1	551
2	516
3	328
54	304
2	340
0	1
0	1
113	0
57	141
9	80
4	86
1	0
0	570
0	570
9	97
127	17
0	10
0	8
0	0
0	0
0	2
0	24
3	12
3	29
3	19
437	4
11	232
15	0
0	1
5	0
0	0
0	0
0	0
0	114
5	113
0	112
4	117
0	125
2	137
5	55
1	36
0	36
0	4
43	0
0	2
0	2
54	0
0	0
0	0
0	0
0	0
9	4
0	0
0	0
47	1
38	1
8	0
299	0
0	15
0	4
0	4
8	34
53	35
0	1
0	42
6	42
0	5
1	5
0	5
0	4
0	5
71	1
0	0
0	164
38	277
89	0
1	0
0	0
0	10
0	439
6	712
8	678
24	283
1	271
0	271
0	279
0	239
0	30
0	33
0	33
0	31
0	29
0	33
240	15
10	15
822	18
77	0
0	6
1	17
0	10
0	4
0	0
3	64
9	75
9	43
0	43
6	2
0	15
17	53
772	1089
58	3231
100	3033
0	0
3	30
0	0
4	108
0	11
668	1286
2	1695
0	5471
29	5780
0	6021
67	5907
0	5485
0	4
0	7
0	7
0	14
0	10
0	9
0	10
0	7
0	14
21	719
0	672
7	781
4	848
3	218
1	341
16	311
6	278
82	326
35	8
0	0
0	103
0	45
0	103
0	105
8	52
39	101
167	101
405	7
15	350
2	366
19	355
0	396
0	394
0	427
0	35
0	39
0	0
0	15
0	0
0	0
0	0
0	0
4	293
0	288
0	308
0	362
13	366
0	406
0	0
4	9
0	6
1	155
0	155
3	155
20	154
0	155
0	206
30	206
4	7
0	2187
0	1081
165	2190
2	713
3	722
0	740
1	766
0	842
85	850
0	0
170	2662
135	2660
0	120
0	345
0	362
7	147
3	167
102	4565
18	5733
26	5733
2	3246
15	2891
1	6041
0	0
693	5
0	62
3	0
0	768
0	90
5	90
9803	114
0	78
135	79
0	532
3	555
100	9
2	260
1	0
0	0
1	191
12	169
5	508
12	469
1	500
9	509
0	486
0	3855
25	3855
24	3855
13	3855
0	9
0	11
0	14
0	12
0	12
1	12
0	13
0	12
3	1
70	4
0	15
0	39
0	7
0	42
0	7
0	0
98	11492
17	11391
48	11491
65	11411
0	11641
